time,Wind_0,Wind_1,Wind_2,Wind_3,Wind_4,Wind_5,P_ac,P_in without losses [KW],P_in [KW],hydrogen production [Kg/dt],surplus electricity [kW],status,status codes,H20 [kg/dt],Oxygen [kg/dt],cooling Water [kg/dt],Heat Cell [%],heat system [%],electrolyzer {%],gasdrying {%],electronics [%],pump [%],compression [%],efficiency [%],efficency _c [%],Electrolyzer
2024-03-03 19:15:00,332.80978134386254,332.80978134386254,332.80978134386254,332.80978134386254,332.80978134386254,332.80978134386254,1996.86,1996.17,1937.76,36.86,0.0,production,4,329.29,293.02,-762.2,2.72,-0.38,37.0,1.65,6.74,0.16,0.0,54.85,54.85,1996.17
2024-03-03 19:30:00,506.41143751961175,506.41143751961175,506.41143751961175,506.41143751961175,506.41143751961175,506.41143751961175,3038.47,3037.77,3002.61,61.7,0.0,production,4,551.2,490.48,-2014.04,4.64,-0.65,32.0,1.78,5.04,0.17,0.0,61.5,61.5,3037.77
2024-03-03 19:45:00,565.4156173430928,565.4156173430928,565.4156173430928,565.4156173430928,565.4156173430928,565.4156173430928,3392.49,3391.79,3333.04,69.27,0.0,production,4,618.83,550.66,-2484.11,5.16,-0.72,31.0,1.8,4.83,0.18,0.0,62.46,62.46,3391.79
2024-03-03 20:00:00,506.8929154135018,506.8929154135018,506.8929154135018,506.8929154135018,506.8929154135018,506.8929154135018,3041.36,3040.66,2974.71,61.06,0.0,production,4,545.48,485.4,-1976.02,4.59,-0.64,32.0,1.78,5.05,0.17,0.0,61.41,61.41,3040.66
2024-03-03 20:15:00,291.0746002501748,291.0746002501748,291.0746002501748,291.0746002501748,291.0746002501748,291.0746002501748,1746.45,1745.76,1687.62,30.91,0.0,production,4,276.14,245.72,-532.8,2.18,-0.31,39.0,1.59,7.65,0.16,0.0,51.65,51.65,1745.76
2024-03-03 20:30:00,893.4754718100545,893.4754718100545,893.4754718100545,893.4754718100545,893.4754718100545,893.4754718100545,5360.85,5360.15,5330.64,113.77,0.0,production,4,1016.37,904.41,-6030.69,7.83,-1.1,29.0,1.85,3.72,0.18,0.0,65.39,65.39,5360.15
2024-03-03 20:45:00,2088.894072237381,2088.894072237381,2088.894072237381,2088.894072237381,2088.894072237381,2088.894072237381,12533.36,12532.66,12424.1,258.6,0.0,production,4,2310.21,2055.74,-26129.79,14.55,-2.04,31.0,1.81,2.53,0.26,0.0,64.77,64.77,12532.66
2024-03-03 21:00:00,1248.8197533465095,1248.8197533465095,1248.8197533465095,1248.8197533465095,1248.8197533465095,1248.8197533465095,7492.92,7492.22,7236.05,154.49,0.0,production,4,1380.14,1228.12,-10391.5,9.93,-1.39,29.0,1.85,3.21,0.2,0.0,65.9,65.9,7492.22
2024-03-03 21:15:00,1431.7495369080998,1431.7495369080998,1431.7495369080998,1431.7495369080998,1431.7495369080998,1431.7495369080998,8590.5,8589.8,8441.59,179.51,0.0,production,4,1603.66,1427.01,-13578.65,11.13,-1.56,29.0,1.85,2.96,0.21,0.0,65.86,65.86,8589.8
2024-03-03 21:30:00,1646.9264995041897,1646.9264995041897,1646.9264995041897,1646.9264995041897,1646.9264995041897,1646.9264995041897,9881.56,9880.86,9707.6,205.21,0.0,production,4,1833.25,1631.31,-17248.52,12.29,-1.72,30.0,1.83,2.8,0.22,0.0,65.61,65.61,9880.86
